#merchant card deck does not include starter cards
t,0,3,0,0,0,0,3,0
t,1,1,0,0,0,0,0,1
t,0,2,0,0,2,0,0,1
t,0,0,2,0,2,3,0,0
t,2,0,0,0,0,0,1,0
t,2,0,0,0,0,2,0,0
s,0,2,0,0
s,1,0,1,0
t,2,0,1,0,0,0,0,2
t,0,3,0,0,0,0,0,2
t,0,0,2,0,0,2,0,1
t,0,2,0,0,0,0,2,0
t,0,0,1,0,1,2,0,0
t,5,0,0,0,0,0,3,0
s,4,0,0,0
t,5,0,0,0,0,0,0,2
t,0,0,1,0,0,2,0,0
t,0,0,1,0,4,1,0,0
u,3
t,3,0,0,0,0,1,1,0
t,0,0,0,2,0,3,2,0
t,0,0,2,0,0,0,0,2
t,0,0,0,1,1,1,1,0
t,0,3,0,0,1,0,1,1
t,0,1,0,0,3,0,0,0
t,0,0,2,0,2,1,0,1
t,4,0,0,0,0,0,2,0
t,3,0,0,0,0,0,0,1
t,0,0,0,2,1,1,3,0
s,0,0,1,0
s,3,0,0,0
t,0,0,0,1,0,0,2,0
t,0,2,0,0,3,0,1,0
t,0,3,0,0,2,0,2,0
t,0,0,0,1,0,3,0,0
t,4,0,0,0,0,0,1,1
t,0,0,0,1,3,0,1,0
s,0,0,0,4
s,1,1,0,0
s,2,1,0,0
t,3,0,0,0,0,3,0,0
t,0,0,0,1,2,2,0,0
t,0,0,3,0,0,0,0,3
